12.20.56 156 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.56 373 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.56 588 Roll: 0.2 -> 1499, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.56 805 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.57 007 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.57 223 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.57 439 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.57 642 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.57 843 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.58 058 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.58 273 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.58 478 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.58 693 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.58 898 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.59 104 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.59 313 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.59 514 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.59 718 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.20.59 931 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.00 136 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.00 338 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.00 551 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.00 759 Roll: 0.5 -> 1497, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.00 961 Roll: 0.5 -> 1497, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.01 175 Roll: 0.5 -> 1497, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.01 389 Roll: 0.5 -> 1497, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.01 602 Roll: 0.5 -> 1497, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.01 803 Roll: 0.5 -> 1497, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.02 018 Roll: 0.5 -> 1497, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.02 233 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.02 440 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.02 657 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.02 870 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.03 085 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.03 291 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.03 504 Roll: 0.4 -> 1498, Pitch: 0 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.03 718 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.03 926 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.04 142 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.04 357 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.04 573 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.04 788 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.04 990 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.05 194 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.05 407 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.05 623 Roll: 0.5 -> 1497, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.05 825 Roll: 0.5 -> 1497, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.06 038 Roll: 0.5 -> 1497, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.06 246 Roll: 0.5 -> 1497, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.06 448 Roll: 0.4 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.06 661 Roll: 0.4 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.06 875 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.07 099 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.07 300 Roll: 0.4 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.07 514 Roll: 0.3 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.07 718 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.07 931 Roll: 0.5 -> 1497, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.08 147 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.08 348 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.08 551 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.08 767 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.08 970 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.09 182 Roll: 0.5 -> 1497, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.09 388 Roll: 0.5 -> 1497, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.09 601 Roll: 0.3 -> 1498, Pitch: 0 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.09 815 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.10 031 Roll: 0.5 -> 1497, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.10 239 Roll: 0.5 -> 1497, Pitch: 0 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.10 453 Roll: 0.4 -> 1498, Pitch: 0 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.10 669 Roll: 0.4 -> 1498, Pitch: 0 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.10 891 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.11 103 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.11 318 Roll: 0.4 -> 1498, Pitch: 0 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.11 526 Roll: 0.5 -> 1497, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.11 735 Roll: 0.4 -> 1498, Pitch: 0 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.11 950 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.12 157 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.12 362 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.12 567 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.12 771 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
